22 | Altai Krai                            | Алтайский край                           | 22 | 06:00:00
31 | Amur Oblast                           | Амурская область                         | 28 | 08:00:00
32 | Arkhangelsk Oblast                    | Архангельская область                    | 29 | 02:00:00
33 | Astrakhan Oblast                      | Астраханская область                     | 30 | 03:00:00
34 | Belgorod Oblast                       | Белгородская область                     | 31 | 02:00:00
35 | Bryansk Oblast                        | Брянская область                         | 32 | 02:00:00
36 | Vladimir Oblast                       | Владимирская область                     | 33 | 02:00:00
37 | Volgograd Oblast                      | Волгоградская область                    | 34 | 02:00:00
38 | Vologda Oblast                        | Вологодская область                      | 35 | 02:00:00
39 | Voronezh Oblast                       | Воронежская область                      | 36 | 02:00:00
80 | Jewish Autonomous Oblast              | Еврейская автономная область             | 79 | 09:00:00
23 | Zabaykalsky Krai                      | Забайкальский край                       | 75 | 08:00:00
40 | Ivanovo Oblast                        | Ивановская область                       | 37 | 02:00:00
41 | Irkutsk Oblast                        | Иркутская область                        | 38 | 07:00:00
6  | Kabardino-Balkar Republic             | Кабардино-Балкарская Республика          | 07 | 02:00:00
42 | Kaliningrad Oblast                    | Калининградская область                  | 39 | 01:00:00
43 | Kaluga Oblast                         | Калужская область                        | 40 | 02:00:00
24 | Kamchatka Krai                        | Камчатский край                          | 41 | 11:00:00
8  | Karachay-Cherkess Republic            | Карачаево-Черкесская Республика          | 09 | 02:00:00
44 | Kemerovo Oblast                       | Кемеровская область                      | 42 | 06:00:00
45 | Kirov Oblast                          | Кировская область                        | 43 | 02:00:00
46 | Kostroma Oblast                       | Костромская область                      | 44 | 02:00:00
25 | Krasnodar Krai                        | Краснодарский край                       | 23 | 02:00:00
26 | Krasnoyarsk Krai                      | Красноярский край                        | 24 | 06:00:00
47 | Kurgan Oblast                         | Курганская область                       | 45 | 04:00:00
48 | Kursk Oblast                          | Курская область                          | 46 | 02:00:00
49 | Leningrad Oblast                      | Ленинградская область                    | 47 | 02:00:00
50 | Lipetsk Oblast                        | Липецкая область                         | 48 | 02:00:00
51 | Magadan Oblast                        | Магаданская область                      | 49 | 10:00:00
77 | Moscow                                | Москва                                   | 77 | 02:00:00
52 | Moscow Oblast                         | Московская область                       | 50 | 02:00:00
53 | Murmansk Oblast                       | Мурманская область                       | 51 | 02:00:00
81 | Nenets Autonomous Okrug               | Ненецкий автономный округ                | 83 | 02:00:00
54 | Nizhny Novgorod Oblast                | Нижегородская область                    | 52 | 02:00:00
55 | Novgorod Oblast                       | Новгородская область                     | 53 | 02:00:00
56 | Novosibirsk Oblast                    | Новосибирская область                    | 54 | 06:00:00
57 | Omsk Oblast                           | Омская область                           | 55 | 05:00:00
58 | Orenburg Oblast                       | Оренбургская область                     | 56 | 04:00:00
59 | Oryol Oblast                          | Орловская область                        | 57 | 02:00:00
60 | Penza Oblast                          | Пензенская область                       | 58 | 02:00:00
27 | Perm Krai                             | Пермский край                            | 59 | 04:00:00
28 | Primorsky Krai                        | Приморский край                          | 25 | 09:00:00
61 | Pskov Oblast                          | Псковская область                        | 60 | 02:00:00
87 | Republic of Adygea                    | Республика Адыгея                        | 01 | 02:00:00
1  | Altai Republic                        | Республика Алтай                         | 04 | 06:00:00
2  | Republic of Bashkortostan             | Республика Башкортостан                  | 02 | 04:00:00
3  | Republic of Buryatia                  | Республика Бурятия                       | 03 | 07:00:00
4  | Republic of Dagestan                  | Республика Дагестан                      | 05 | 02:00:00
