                   | supporter          | Принять в сторонники                         |         |
supporter          | active_member      | Принять в члены                              | 1 month |
supporter          | exited_supporter   | Выйти из сторонников                         |         |
supporter          | excluded_supporter | Исключить из сторонников                     |         |
active_member      | pending_member     | Приостановить членство                       |         |
active_member      | exited_member      | Выйти из членов                              |         |
active_member      | excluded_member    | Исключить из членов                          |         |
pending_member     | active_member      | Возобновить членство                         |         |
exited_supporter   | supporter          | Принять в сторонники бывшего сторонника      |         |
exited_member      | supporter          | Принять в сторонники бывшего члена           | 1 year  |
excluded_supporter | supporter          | Принять в сторонники исключённого сторонника | 3 years |
excluded_member    | supporter          | Принять в сторонники исключённого члена      | 3 years |
